BLINK_N,BLINK_D_Min,BLINK_D_Max,BLINK_D_Mean,BLINK_D_Sum,BLINK_D_RATE,FIX_N,FIX_Min,FIX_Max,FIX_Mean,FIX_Sum,FIX_RATE,PUPIL_D_Min,PUPIL_D_Max,PUPIL_D_Mean,IsDifficult,IsUnderstand,GazeMove_L,HM_Min,HM_Max,HM_Mean,DiffCrossPos_Min,DiffCrossPos_Max,DiffCrossPos_Mean,Page,Panel
1.0,1.0,1.0,1.0,1.0,1.0,1.0,87.0,87.0,87.0,87.0,0.9666666666666667,2.398236666666701,2.538853833333369,2.448125162962999,False,False,421.8699274875941,0.34057869952010444,0.6221044550429318,0.47090252583362535,-0.429396817032937,2.171700550270371,1.8995863325232665,3,1
1.0,1.0,1.0,1.0,1.0,1.0,3.0,15.0,42.0,26.666666666666668,80.0,0.8888888888888888,2.439519166666701,2.553476833333371,2.478701394444481,False,False,452.2034925586383,0.34057869952010444,0.6643734530719898,0.4802330569247272,-0.429396817032937,2.5091081412766973,1.5375602050363066,3,1
1.0,1.0,1.0,1.0,1.0,1.0,4.0,15.0,23.0,18.5,74.0,0.8222222222222222,2.452407833333369,2.5612945000000376,2.5183016018518893,False,False,618.6641671506713,0.528309148991941,0.6814042973777725,0.612720753412967,-0.3849299500573595,2.5091081412766973,1.423441138979548,3,1
1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,23.0,13.8,69.0,0.7666666666666667,2.4583408333333687,2.573211666666701,2.5233006537037403,False,False,940.2832503514256,0.30325462064809683,0.9960201341887308,0.7142592356487915,-1.2713670798145746,2.4549907115918077,1.1790980905516826,3,1
1.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,48.0,26.333333333333332,79.0,0.8777777777777778,2.3937605000000364,2.573211666666701,2.484264900000036,False,False,714.6273438479775,0.30325462064809683,0.9960201341887308,0.6762258817912806,-1.2713670798145746,2.4549907115918077,1.4228237962316501,3,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,90.0,90.0,90.0,1.0,2.392567833333369,2.5436146666667008,2.465180277777814,False,False,303.43725773309893,0.4593692194469088,0.6442058364015751,0.5547056677820384,1.741175720788703,2.0799975764318357,1.9461412776719669,3,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,90.0,90.0,90.0,1.0,2.392567833333369,2.7145310000000324,2.54939763703707,False,False,273.1703822339117,0.43020237350234464,0.6095561039507557,0.5284888706420838,1.2531530103184687,2.3836703013070863,1.8398872174535836,3,1
1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,59.0,27.333333333333332,82.0,0.9111111111111111,2.549484333333368,2.7300796666667004,2.6548397351852184,False,False,531.700746062071,0.43020237350234464,0.9720590224131178,0.5940580953699558,-3.068876471171228,2.3836703013070863,1.2954556066407519,3,1
1.0,1.0,1.0,1.0,1.0,1.0,4.0,14.0,20.0,18.5,74.0,0.8222222222222222,2.5467961666666987,2.7300796666667004,2.634212174074107,False,False,659.982339292825,0.561307681745723,0.9921608090961366,0.809098555084136,-9.09967217912358,2.0118617400175163,0.7073292732250513,3,1
1.0,1.0,1.0,1.0,1.0,1.0,4.0,11.0,29.0,19.25,77.0,0.8555555555555555,2.5467961666666987,2.7496996666667,2.6343583925926244,False,False,695.5339512594495,0.13965545916290747,1.0000000000000002,0.8613750874213002,-33.8288266829924,1.9874413370209965,-0.17792710822805402,3,1
1.0,1.0,1.0,1.0,1.0,1.0,4.0,9.0,29.0,19.5,78.0,0.8666666666666667,2.5621491666666985,2.835047333333366,2.6879708370370694,False,False,962.6553835725621,0.13020018688975885,1.0000000000000002,0.5164875417828519,-33.8288266829924,2.432783631827818,0.04399004286338023,3,1
1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,22.0,13.4,67.0,0.7444444444444445,2.5010095000000345,2.835047333333366,2.627366072222258,False,False,1467.3516266939496,0.13020018688975885,0.592740835271546,0.24811183310266963,-6.105662686593838,2.432783631827818,1.105049710170928,3,1
1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,22.0,15.0,60.0,0.6666666666666666,2.5010095000000345,2.6538491666667023,2.5693593907407757,False,False,1474.9376398244763,0.2429061701455893,0.7124251304762035,0.4378086896042299,-0.36958161627641317,2.411757063833184,1.4865504648105268,3,1
1.0,1.0,1.0,1.0,1.0,1.0,3.0,14.0,42.0,24.666666666666668,74.0,0.8222222222222222,2.505282000000036,2.6451896666667016,2.5704701611111456,False,False,790.7218153728651,0.2786925185077249,0.7124251304762035,0.5417814934419511,1.450926671751752,2.1657860473487687,1.8384508234986068,3,2
1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,78.0,42.0,84.0,0.9333333333333333,2.484614000000036,2.608345000000036,2.54083989444448,False,False,483.98163922908105,0.2786925185077249,0.7245014882479166,0.5421986518642332,1.6377574517400912,2.1024921432229107,1.8505020819977707,3,2
1.0,1.0,1.0,1.0,1.0,1.0,2.0,36.0,51.0,43.5,87.0,0.9666666666666667,2.4658865000000363,2.5919698333333705,2.521216020370406,False,False,375.3062668460044,0.4067326854144031,0.7245014882479166,0.6119466412403747,1.6377574517400912,2.1024921432229107,1.8150899482918297,3,2
1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,62.0,26.333333333333332,79.0,0.8777777777777778,2.4658865000000363,2.7247795000000408,2.58837822222226,False,False,315.13298501564344,0.3777557663859414,0.729404365203604,0.6322700049181568,1.1372641999832116,2.122313636677835,1.7237744166280862,3,2
1.0,1.0,1.0,1.0,1.0,1.0,3.0,13.0,49.0,26.333333333333332,79.0,0.8777777777777778,2.585886500000039,2.7247795000000408,2.6455591685185578,False,False,430.8595485883444,0.354071637800948,0.7739814076758594,0.5875529184035392,-1.1594340904277014,2.190607676344069,1.5679413022019573,3,2
1.0,1.0,1.0,1.0,1.0,1.0,2.0,33.0,55.0,44.0,88.0,0.9777777777777777,2.576355000000039,2.6895013333333733,2.632398061111151,False,False,314.16994650920867,0.354071637800948,0.7762351723465484,0.656742901617447,-1.6046738798938156,2.3335584828374225,0.9315424249879511,3,2
1.0,1.0,1.0,1.0,1.0,1.0,3.0,10.0,48.0,26.666666666666668,80.0,0.8888888888888888,2.532796166666706,2.6861545000000397,2.6274270944444846,False,False,278.3384989987205,0.4978282697621848,0.7762351723465484,0.6932358407457586,-1.6046738798938156,2.3335584828374225,0.7687883399144675,3,2
1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,22.0,14.2,71.0,0.7888888888888889,2.529739333333373,2.7426173333333743,2.631453527777817,False,False,710.452223493548,0.3378861756305338,0.7609404875196055,0.6283774114690847,-24.44416940076917,1.7046983322357514,0.3700296731393084,3,2
1.0,1.0,1.0,1.0,1.0,1.0,5.0,12.0,17.0,14.0,70.0,0.7777777777777778,2.413307333333373,2.7426173333333743,2.56803905185189,False,False,783.2627422828666,0.334831154024341,0.7285383560402351,0.5654524894893035,-24.44416940076917,2.0952915323918315,0.17780044944473403,3,2
1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,45.0,18.0,72.0,0.8,2.34781900000004,2.5699310000000395,2.4669045388889286,False,False,762.896854779375,0.334831154024341,0.887617858171345,0.6196621328928655,-11.735368400470616,2.2552760476184894,1.0949284754531117,3,2
1.0,1.0,1.0,1.0,1.0,1.0,2.0,32.0,49.0,40.5,81.0,0.9,2.34781900000004,2.5235976666667046,2.417439335185225,False,False,552.6134962237758,0.4587507271887198,0.908442335241074,0.8174583839434291,-12.99177338438477,2.2552760476184894,0.39191650972643904,3,2
1.0,1.0,1.0,1.0,1.0,1.0,2.0,25.0,63.0,44.0,88.0,0.9777777777777777,2.3601403333333733,2.5654473333333727,2.4452659111111497,False,False,203.84691672390534,0.8263722301976242,0.9734342640621418,0.9000065222841462,-42.98293527339469,2.2653797718116744,-0.8493196444860213,3,2
